EdgeNumber Node1 Node2 FullCorrelation PartialCorrelation
1 1 2 -3.19 -0.57
2 1 3 -9.13 -3.87
3 2 3 1.10 -0.02
4 1 4 -2.69 -0.68
5 2 4 5.70 0.75
6 3 4 -0.32 -0.70
7 1 5 0.12 -0.71
8 2 5 -3.30 -0.67
9 3 5 -0.16 -0.50
10 4 5 -4.27 -1.10
11 1 6 0.86 -0.43
12 2 6 -2.15 -0.64
13 3 6 -0.73 -0.10
14 4 6 -3.50 -0.87
15 5 6 3.56 1.16
16 1 7 3.05 1.46
17 2 7 -2.08 -0.27
18 3 7 -0.61 0.22
19 4 7 -2.27 -0.37
20 5 7 2.47 0.31
21 6 7 0.81 -0.09
22 1 8 -1.56 -0.53
23 2 8 6.78 2.09
24 3 8 -1.62 -1.19
25 4 8 8.31 2.78
26 5 8 -3.76 -1.05
27 6 8 -2.47 -0.72
28 7 8 -3.20 -1.15
29 1 9 6.61 2.50
30 2 9 -6.88 -2.24
31 3 9 -4.54 -1.54
32 4 9 -5.37 -1.38
33 5 9 2.16 0.32
34 6 9 2.68 1.01
35 7 9 0.61 -0.73
36 8 9 -3.35 -0.28
37 1 10 0.20 0.39
38 2 10 -0.01 -0.34
39 3 10 1.43 0.66
40 4 10 -0.81 -0.45
41 5 10 -1.34 -0.43
42 6 10 -1.04 -0.71
43 7 10 -1.25 -0.70
44 8 10 -1.40 -0.74
45 9 10 -0.93 -0.20
46 1 11 -0.17 -0.11
47 2 11 0.46 -0.22
48 3 11 -0.33 -0.36
49 4 11 1.03 0.15
50 5 11 -2.09 -0.39
51 6 11 -0.84 -0.19
52 7 11 -1.54 -0.34
53 8 11 -0.34 -0.38
54 9 11 -1.25 -0.21
55 10 11 3.61 0.51
56 1 12 -1.89 -0.34
57 2 12 1.45 -0.09
58 3 12 2.17 0.26
59 4 12 1.55 0.06
60 5 12 -3.70 -0.97
61 6 12 -3.17 -0.89
62 7 12 -1.62 -0.28
63 8 12 -0.10 -0.42
64 9 12 -3.03 -0.58
65 10 12 4.83 1.02
66 11 12 4.84 0.65
67 1 13 3.54 0.68
68 2 13 -0.66 0.23
69 3 13 -3.04 -0.75
70 4 13 -1.75 -0.27
71 5 13 -1.51 -1.36
72 6 13 3.20 1.04
73 7 13 -0.67 -0.58
74 8 13 -1.06 -0.45
75 9 13 3.83 1.11
76 10 13 0.02 -0.09
77 11 13 -0.46 -0.22
78 12 13 -1.71 -0.39
79 1 14 4.54 1.60
80 2 14 -2.21 -0.76
81 3 14 -3.22 -0.64
82 4 14 0.10 0.05
83 5 14 -2.39 -1.06
84 6 14 -2.73 -1.10
85 7 14 -0.11 -0.33
86 8 14 -0.02 -0.12
87 9 14 1.92 -0.02
88 10 14 -0.89 -0.43
89 11 14 0.50 0.03
90 12 14 0.41 0.11
91 13 14 -1.16 -0.70
92 1 15 -2.60 -0.51
93 2 15 -2.03 -0.62
94 3 15 2.67 0.46
95 4 15 -0.49 -0.09
96 5 15 -0.42 -0.39
97 6 15 -0.91 -0.40
98 7 15 -1.96 -0.61
99 8 15 -0.95 -0.32
100 9 15 0.10 0.00
101 10 15 -1.47 -0.31
102 11 15 -1.91 -0.29
103 12 15 -0.76 -0.18
104 13 15 -1.08 -0.14
105 14 15 -0.71 -0.23
106 1 16 -1.40 -1.32
107 2 16 -3.26 -0.77
108 3 16 1.36 0.34
109 4 16 -2.12 -0.37
110 5 16 1.64 0.11
111 6 16 -1.28 -1.17
112 7 16 0.28 -0.16
113 8 16 -2.44 -0.50
114 9 16 2.89 1.36
115 10 16 -1.14 -0.43
116 11 16 -2.02 -0.49
117 12 16 -1.29 -0.33
118 13 16 -0.42 -0.09
119 14 16 0.34 0.12
120 15 16 2.37 0.33
121 1 17 -1.47 -0.76
122 2 17 0.03 -0.14
123 3 17 1.06 0.03
124 4 17 0.47 -0.07
125 5 17 -2.89 -1.28
126 6 17 -1.79 -0.28
127 7 17 -2.68 -1.12
128 8 17 -0.40 -0.42
129 9 17 -0.17 0.29
130 10 17 1.58 0.17
