phenotype,year,unzipped_file,munged_file,filename,contains_ukb,doi,src, ,type,build,N,Ncol,Ncase,Nctl,Ncase_col,Nctl_col,Nstudy,A1,A2,frq,signed_sumstat,CHR,P,POS,SNP,daner_n,ready
alcohol_dependence,2018,pgc_alcdep.discovery.aug2018_release.txt,AlcoholDependence_2018_NatNeuro_Walters,pgc_alcdep.aug2018_release.tar.gz,0,https://doi.org/10.1038/s41593-018-0275-1,https://pgcdata.med.unc.edu/alcohol_dependence/pgc_alcdep.aug2018_release.tar.gz, ,binary,37,,,14904,37944,,,,A1,A2,,"Z,0",CHR,P,BP,SNP,FALSE,TRUE
adhd,2019,daner_adhd_meta_filtered_NA_iPSYCH23_PGC11_sigPCs_woSEX_2ell6sd_EUR_Neff_70.meta,ADHD_2018_NatNeuro_Demontis,daner_adhd_meta_filtered_NA_iPSYCH23_PGC11_sigPCs_woSEX_2ell6sd_EUR_Neff_70.meta.gz,0,https://pubmed.ncbi.nlm.nih.gov/30478444/,https://www.med.unc.edu/pgc/download-results/, ,binary,37,,,,,Nca,Nco,,A1,A2,FRQ_A_19099,"OR,1",CHR,P,,SNP,TRUE,TRUE
autism,2017,fmt_daner_AUT_meta14_CEU_all.hg19.Mar2016_info_0.60_maf_0.05_release_Jun2017.tsv,Autism_2017_MolAutism_Anney,daner_AUT_meta14.hg19.Mar2016_info_0.60_maf_0.05_release_Jun2017.tar.gz,0,https://doi.org/10.1186/s13229-017-0137-9 ,https://pgcdata.med.unc.edu/autism_spectrum_disorders/daner_AUT_meta14.hg19.Mar2016_info_0.60_maf_0.05_release_Jun2017.tar.gz, ,binary,37,,,7387,8567,,,,A1,A2,FRQ_A1,"BETA,1",CHR,P,,SNP,TRUE,TRUE
autism,2017,iPSYCH-PGC_ASD_Nov2017,Autism_2019_NatGen_Grove,iPSYCH-PGC_ASD_Nov2017.gz,0,https://doi.org/10.1038/s41588-019-0344-8 ,https://pgcdata.med.unc.edu/autism_spectrum_disorders/iPSYCH-PGC_ASD_Nov2017.gz, ,binary,37,,,"18,381","27,969",,,,A1,A2,,"OR,1",CHR,P,BP,SNP,FALSE,TRUE
bipolar_disorder,2011,ieu-a-801.vcf,BipolarDisorder_2011_NatGen_Sklar,pgc.bip.2012-04.zip,0,https://doi.org/10.1038/ng.943 ,https://gwas.mrcieu.ac.uk/datasets/ieu-a-801/, ,binary,37,,,"7,481","9,250",,,,A1,A2,A1_FRQ,"or,1",hg18chr,pval,POS,snpid,FALSE,TRUE
bipolar_disorder,2019,daner_PGC_BIP32b_mds7a_0416a,BipolarDisorder_2019_NatGen_Stahl,daner_PGC_BIP32b_mds7a_0416a.gz,0,https://doi.org/10.1038/s41588-019-0397-8,https://gwas.mrcieu.ac.uk/datasets/ieu-b-41/, ,binary,37,,,,,Nca,Nco,,A1,A2,FRQ_A_20352,"OR,1",CHR,P,,SNP,TRUE,TRUE
bipolar_disorder,2018,BDvsCONT.sumstats,BipolarDisorder_2018_Cell_Ruderfer,BDvsCONT.sumstats.gz,0,https://doi.org/10.1016/j.cell.2018.05.046,https://pgcdata.med.unc.edu/bipolar_and_schizophrenia/BDvsCONT.sumstats.gz, ,binary,37,,,"20,129","54,065",,,,A1,A2,FRQ_A_20129,"OR,1",CHR,P,,SNP,TRUE,FALSE
bipolar_disorder_shizophrenia,2018,BDSCZvsCONT.sumstats,SchizophreniaBipolarDisordeR_2018_Cell_Ruderfer,BDSCZvsCONT.sumstats.gz,0,https://doi.org/10.1016/j.cell.2018.05.046,https://pgcdata.med.unc.edu/bipolar_and_schizophrenia/BDSCZvsCONT.sumstats.gz, ,binary,37,,,"53,555","54,065",,,,A1,A2,FRQ_A_20129,"OR,1",CHR,P,,SNP,FALSE,FALSE
ocd,2017,ocd_aug2017,OCD_2018_MolPsy_Knowles,PGC_OCD_Aug2017-20171122T182645Z-001.zip,0,https://doi.org/10.1038/mp.2017.154,https://pgcdata.med.unc.edu/obsessive_compulsive_disorder/PGC_OCD_Aug2017-20171122T182645Z-001.zip, ,binary,37,,,2688,7037,,,,A1,A2,,"OR,1",CHR,P,,SNP,FALSE,FALSE
anxiety,2016,anxiety.meta.full.fs.tbl,Anxiety_CaseControl_2016_BehGen_Otawa,angst.study.results.zip,0,https://doi.org/10.1038/mp.2015.197,https://pgcdata.med.unc.edu/other_gwas_downloads/angst/angst.study.results.zip, ,binary,37,,TotalN,,,,,,Allele1,Allele2,Freq1,"Effect,1",CHR,P.value,BP,SNPID,FALSE,TRUE
anxiety,2016,anxiety.meta.full.cc.tbl,Anxiety_FactorScore_2016_BehGen_Otawa,angst.study.results.zip,0,https://doi.org/10.1038/mp.2015.197,https://pgcdata.med.unc.edu/other_gwas_downloads/angst/angst.study.results.zip, ,linear,37,,TotalN,,,,,,Allele1,Allele2,Freq1,"Effect,0",CHR,P.value,BP,SNPID,FALSE,TRUE
