fieldid,instance_id,path,category,field,participants,items,units,sexed,coding,notes,link,excluded,cat_mult_indicator_fields,cat_single_to_cat_mult,date_convert,valuetype,allow_regression
3,2,UK Biobank Assessment Centre > Procedural metrics > Process durations,152,Verbal interview duration,501656,566685,seconds,Unisex,,Time taken for interview,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3,,,,,Integer,1
4,2,UK Biobank Assessment Centre > Procedural metrics > Process durations,152,Biometrics duration,497973,566546,seconds,Unisex,,Time taken for participant to do the tests in the biometric station of the Assessment Centre visit.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4,,,,,Integer,1
5,2,UK Biobank Assessment Centre > Procedural metrics > Process durations,152,Sample collection duration,501327,571519,seconds,Unisex,,Time taken for participant to complete the blood phlebotomy station of the Assessment Centre visit. This is longer than the time during which they were actively giving blood.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5,,,,,Integer,1
6,2,UK Biobank Assessment Centre > Procedural metrics > Process durations,152,Conclusion duration,499027,569096,seconds,Unisex,,This is the time taken for the participant to complete the final conclusion stage of the Assessment Centre visit.,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6,,,,,Integer,1
19,2,UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,100018,Heel ultrasound method,324778,324778,,Unisex,100260,Method used for the Ultrasound Bone Densitometry of heel,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=19,,,,,Categorical single,1
21,2,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,Weight method,500841,570293,,Unisex,100261,"Indicates whether weight was entered into the machine directly or manually, whether weight was only measured manually or not performed",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21,,,,,Categorical single,1
23,2,UK Biobank Assessment Centre > Physical measures > Spirometry,100020,Spirometry method,460150,519975,,Unisex,100270,Spirometry method,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23,,,,,Categorical single,1
31,0,Population characteristics > Baseline characteristics,100094,Sex,502506,502506,,Unisex,9,"Sex of participant.  Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=31,YES-SEX,,,,Categorical single,1
33,0,Population characteristics > Baseline characteristics,100094,Date of birth,502506,502506,,Unisex,,"Date of birth of participant. Acquired from central registry, updated by participant.   This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth (~F52~) and Year of Birth (~F34~) instead.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=33,YES-DATE,,,,Date,0
34,0,Population characteristics > Baseline characteristics,100094,Year of birth,502506,502506,years,Unisex,,"Year of birth of participant. Acquired from central registry, updated by participant.",http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=34,YES-AGE,,,,Integer,0
35,2,UK Biobank Assessment Centre > Biological sampling > Blood sample collection,100002,Was blood sampling attempted,501327,571519,,Unisex,7,Indicates whether or not taking blood samples was attempted,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=35,,,,,Categorical single,1
46,2,UK Biobank Assessment Centre > Physical measures > Hand grip strength,100019,Hand grip strength (left),499266,568255,Kg,Unisex,,Left grip strength,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=46,,,,,Integer,1
47,2,UK Biobank Assessment Centre > Physical measures > Hand grip strength,100019,Hand grip strength (right),499341,568338,Kg,Unisex,,Right grip strength,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=47,,,,,Integer,1
48,2,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,Waist circumference,500408,569829,cm,Unisex,,Waist circumference,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=48,,,,,Continuous,1
49,2,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,Hip circumference,500346,569767,cm,Unisex,,Hip circumference,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=49,,,,,Continuous,1
50,2,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,100010,Standing height,500043,569401,cm,Unisex,,Standing height was measured using a Seca 202 device,http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=50,,,,,Continuous,1
