"FieldID","Category","Path","Field","ValueType","DataCoding","Excluded","CatMultIndicatorFields","CatSingleToCatMult","DateConvert","Participants","Items","Units","Strata","Instances","Array","Notes","Link","phenoCategory","covarType"
3,152,"UK Biobank Assessment Centre > Procedural metrics > Process durations","Verbal interview duration","Integer",NA,NA,NA,NA,NA,501656,566685,"seconds","Auxiliary",4,1,"Time taken for interview","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=3","Process durations","centerSex"
4,152,"UK Biobank Assessment Centre > Procedural metrics > Process durations","Biometrics duration","Integer",NA,NA,NA,NA,NA,497973,566546,"seconds","Auxiliary",4,1,"Time taken for participant to do the tests in the biometric station of the Assessment Centre visit.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=4","Process durations","centerSex"
5,152,"UK Biobank Assessment Centre > Procedural metrics > Process durations","Sample collection duration","Integer",NA,NA,NA,NA,NA,501327,571519,"seconds","Auxiliary",4,1,"Time taken for participant to complete the blood phlebotomy station of the Assessment Centre visit. This is longer than the time during which they were actively giving blood.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=5","Process durations","centerSex"
6,152,"UK Biobank Assessment Centre > Procedural metrics > Process durations","Conclusion duration","Integer",NA,NA,NA,NA,NA,499027,569096,"seconds","Auxiliary",4,1,"This is the time taken for the participant to complete the final conclusion stage of the Assessment Centre visit.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=6","Process durations","centerSex"
19,100018,"UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel","Heel ultrasound method","Categorical single",100260,NA,NA,NA,NA,324778,324778,"","Primary",1,1,"Method used for the Ultrasound Bone Densitometry of heel","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=19","Bone-densitometry of heel","centerSex"
21,100010,"UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures","Weight method","Categorical single",100261,NA,NA,NA,NA,500841,570293,"","Primary",4,1,"Indicates whether weight was entered into the machine directly or manually, whether weight was only measured manually or not performed","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=21","Body size measures","centerSex"
23,100020,"UK Biobank Assessment Centre > Physical measures > Spirometry","Spirometry method","Categorical single",100270,NA,NA,NA,NA,460150,519975,"","Primary",4,1,"Spirometry method","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=23","Spirometry","centerSex"
31,100094,"Population characteristics > Baseline characteristics","Sex","Categorical single",9,"YES-SEX",NA,NA,NA,502506,502506,"","Primary",1,1,"Sex of participant.  Acquired from central registry at recruitment, but in some cases updated by the participant. Hence this field may contain a mixture of the sex the NHS had recorded for the participant and self-reported sex.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=31","Baseline characteristics","centerSex"
33,100094,"Population characteristics > Baseline characteristics","Date of birth","Date",NA,"YES-DATE",NA,NA,NA,502506,502506,"","Primary",1,1,"Date of birth of participant. Acquired from central registry, updated by participant.   This data-field will only be made available to researchers in exceptional circumstances. Wherever possible, reasearchers should use Month of Birth (~F52~) and Year of Birth (~F34~) instead.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=33","Baseline characteristics","centerSex"
34,100094,"Population characteristics > Baseline characteristics","Year of birth","Integer",NA,"YES-AGE",NA,NA,NA,502506,502506,"years","Primary",1,1,"Year of birth of participant. Acquired from central registry, updated by participant.","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=34","Baseline characteristics","centerSex"
35,100002,"UK Biobank Assessment Centre > Biological sampling > Blood sample collection","Was blood sampling attempted","Categorical single",7,NA,NA,NA,NA,501327,571519,"","Primary",4,1,"Indicates whether or not taking blood samples was attempted","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=35","Blood sample collection","centerSex"
46,100019,"UK Biobank Assessment Centre > Physical measures > Hand grip strength","Hand grip strength (left)","Integer",NA,NA,NA,NA,NA,499266,568255,"Kg","Primary",4,1,"Left grip strength","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=46","Hand grip strength","centerSex"
47,100019,"UK Biobank Assessment Centre > Physical measures > Hand grip strength","Hand grip strength (right)","Integer",NA,NA,NA,NA,NA,499341,568338,"Kg","Primary",4,1,"Right grip strength","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=47","Hand grip strength","centerSex"
48,100010,"UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures","Waist circumference","Continuous",NA,NA,NA,NA,NA,500408,569829,"cm","Primary",4,1,"Waist circumference","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=48","Body size measures","centerSex"
49,100010,"UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures","Hip circumference","Continuous",NA,NA,NA,NA,NA,500346,569767,"cm","Primary",4,1,"Hip circumference","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=49","Body size measures","centerSex"
50,100010,"UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures","Standing height","Continuous",NA,NA,NA,NA,NA,500043,569401,"cm","Primary",4,1,"Standing height was measured using a Seca 202 device","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=50","Body size measures","centerSex"
51,100010,"UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures","Seated height","Continuous",NA,NA,NA,NA,NA,497178,565500,"cm","Primary",4,1,"Seated height was measured using a Seca 202 device with the participant seated on a box, the size of which is given by ~F3077~","http://biobank.ctsu.ox.ac.uk/showcase/field.cgi?id=51","Body size measures","centerSex"
